frame,spritename,x,y,w,h,confidence
403,smallHillS.png,26,265,78,30,0.974557
403,smallHillS.png,23,269,78,30,0.788312
403,smallHillS.png,30,263,78,30,0.753465
403,smallHillS.png,29,269,78,30,0.772205
404,bush2S.png,322,295,78,26,0.773027
404,bush3S.png,296,295,104,26,0.944192
404,cloud1S.png,219,64,52,39,0.95595
404,ground.png,129,322,26,38,0.947971
404,ground.png,206,322,26,38,0.871086
404,ground.png,104,322,26,38,0.878209
404,ground.png,361,322,26,38,0.976491
404,ground.png,52,322,26,38,0.99174
404,ground.png,181,322,26,38,0.94504
404,ground.png,26,322,26,38,0.970057
404,ground.png,284,322,26,38,0.966091
404,ground.png,335,322,26,38,0.949352
404,ground.png,310,322,26,38,0.87868
404,ground.png,258,322,26,38,0.997273
404,ground.png,155,322,26,38,0.976359
404,ground.png,78,322,26,38,0.956146
404,ground.png,0,322,26,38,0.875673
404,ground.png,232,322,26,38,0.968942
404,largeHillS.png,0,265,130,56,0.931011
404,largeHillS.png,3,260,130,56,0.773825
404,smallHillS.png,26,265,78,30,0.974557
404,smallHillS.png,23,269,78,30,0.788312
404,smallHillS.png,30,263,78,30,0.753465
404,smallHillS.png,29,269,78,30,0.772205
405,bush2S.png,322,295,78,26,0.773027
405,bush3S.png,296,295,104,26,0.944192
405,cloud1S.png,219,64,52,39,0.955949
405,ground.png,129,322,26,38,0.947972
405,ground.png,206,322,26,38,0.871086
405,ground.png,104,322,26,38,0.87821
405,ground.png,361,322,26,38,0.976491
405,ground.png,52,322,26,38,0.994342
405,ground.png,181,322,26,38,0.94504
405,ground.png,26,322,26,38,0.970057
405,ground.png,284,322,26,38,0.966091
405,ground.png,335,322,26,38,0.949352
405,ground.png,310,322,26,38,0.87868
405,ground.png,258,322,26,38,0.997273
405,ground.png,155,322,26,38,0.97636
405,ground.png,78,322,26,38,0.965157
405,ground.png,0,322,26,38,0.875674
405,ground.png,232,322,26,38,0.968942
405,largeHillS.png,0,265,130,56,0.928286
405,largeHillS.png,3,260,130,56,0.770874
405,smallHillS.png,26,265,78,30,0.974557
405,smallHillS.png,23,269,78,30,0.788317
405,smallHillS.png,30,263,78,30,0.753465
405,smallHillS.png,29,269,78,30,0.77221
406,bush2S.png,322,295,78,26,0.773027
406,bush3S.png,296,295,104,26,0.944192
406,cloud1S.png,219,64,52,39,0.955949
406,ground.png,129,322,26,38,0.947972
406,ground.png,206,322,26,38,0.871086
406,ground.png,104,322,26,38,0.87821
406,ground.png,361,322,26,38,0.976491
406,ground.png,52,322,26,38,0.994342
406,ground.png,181,322,26,38,0.94504
406,ground.png,26,322,26,38,0.970057
406,ground.png,284,322,26,38,0.966091
406,ground.png,335,322,26,38,0.949352
406,ground.png,310,322,26,38,0.87868
406,ground.png,258,322,26,38,0.997273
406,ground.png,155,322,26,38,0.97636
406,ground.png,78,322,26,38,0.965157
406,ground.png,0,322,26,38,0.875674
406,ground.png,232,322,26,38,0.968942
406,largeHillS.png,0,265,130,56,0.928286
406,largeHillS.png,3,260,130,56,0.770875
406,smallHillS.png,26,265,78,30,0.974557
406,smallHillS.png,23,269,78,30,0.788317
406,smallHillS.png,30,263,78,30,0.753465
406,smallHillS.png,29,269,78,30,0.77221
407,bush2S.png,322,295,78,26,0.773027
407,bush3S.png,296,295,104,26,0.944192
407,cloud1S.png,219,64,52,39,0.955949
407,ground.png,129,322,26,38,0.947972
407,ground.png,206,322,26,38,0.871086
407,ground.png,104,322,26,38,0.87821
407,ground.png,361,322,26,38,0.976491
407,ground.png,52,322,26,38,0.994342
407,ground.png,181,322,26,38,0.94504
407,ground.png,26,322,26,38,0.970057
407,ground.png,284,322,26,38,0.966091
407,ground.png,335,322,26,38,0.949352
407,ground.png,310,322,26,38,0.87868
407,ground.png,258,322,26,38,0.997273
407,ground.png,155,322,26,38,0.97636
407,ground.png,78,322,26,38,0.965157
407,ground.png,0,322,26,38,0.875674
407,ground.png,232,322,26,38,0.968942
407,largeHillS.png,0,265,130,56,0.928286
407,largeHillS.png,3,260,130,56,0.770875
407,smallHillS.png,26,265,78,30,0.974557
407,smallHillS.png,23,269,78,30,0.788317
407,smallHillS.png,30,263,78,30,0.753465
407,smallHillS.png,29,269,78,30,0.77221
408,bush2S.png,322,295,78,26,0.773027
408,bush3S.png,296,295,104,26,0.944192
408,cloud1S.png,219,64,52,39,0.955949
408,ground.png,129,322,26,38,0.947971
408,ground.png,206,322,26,38,0.871087
408,ground.png,104,322,26,38,0.87821
408,ground.png,361,322,26,38,0.976491
408,ground.png,52,322,26,38,0.998261
408,ground.png,181,322,26,38,0.945041
408,ground.png,26,322,26,38,0.970057
408,ground.png,284,322,26,38,0.966091
408,ground.png,335,322,26,38,0.949352
408,ground.png,310,322,26,38,0.87868
408,ground.png,258,322,26,38,0.997273
408,ground.png,155,322,26,38,0.97636
408,ground.png,78,322,26,38,0.963726
408,ground.png,0,322,26,38,0.875674
408,ground.png,232,322,26,38,0.968942
408,largeHillS.png,0,265,130,56,0.938542
408,largeHillS.png,0,261,130,56,0.806553
408,smallHillS.png,26,265,78,30,0.974551
408,smallHillS.png,23,269,78,30,0.788831
408,smallHillS.png,30,263,78,30,0.753468
408,smallHillS.png,29,269,78,30,0.772717
409,bush2S.png,322,295,78,26,0.773027
409,bush3S.png,296,295,104,26,0.944192
409,cloud1S.png,219,64,52,39,0.955949
409,ground.png,129,322,26,38,0.947971
409,ground.png,206,322,26,38,0.871086
409,ground.png,104,322,26,38,0.87821
409,ground.png,361,322,26,38,0.976491
409,ground.png,52,322,26,38,0.999797
409,ground.png,181,322,26,38,0.945041
409,ground.png,26,322,26,38,0.970057
409,ground.png,284,322,26,38,0.966091
409,ground.png,335,322,26,38,0.949352
409,ground.png,310,322,26,38,0.87868
409,ground.png,258,322,26,38,0.997273
409,ground.png,155,322,26,38,0.976359
409,ground.png,78,322,26,38,0.960411
409,ground.png,0,322,26,38,0.875673
409,ground.png,232,322,26,38,0.968942
409,largeHillS.png,0,265,130,56,0.938108
409,largeHillS.png,0,261,130,56,0.807028
409,smallHillS.png,26,265,78,30,0.974559
409,smallHillS.png,23,269,78,30,0.788664
409,smallHillS.png,30,263,78,30,0.753462
409,smallHillS.png,29,269,78,30,0.772549
410,bush2S.png,322,295,78,26,0.773027
410,bush3S.png,296,295,104,26,0.944192
410,cloud1S.png,219,64,52,39,0.955949
410,ground.png,129,322,26,38,0.947971
410,ground.png,206,322,26,38,0.871087
410,ground.png,104,322,26,38,0.87821
410,ground.png,361,322,26,38,0.976491
410,ground.png,52,322,26,38,0.999672
410,ground.png,181,322,26,38,0.945041
410,ground.png,26,322,26,38,0.970058
410,ground.png,284,322,26,38,0.966091
410,ground.png,335,322,26,38,0.949352
410,ground.png,310,322,26,38,0.87868
410,ground.png,258,322,26,38,0.997273
410,ground.png,155,322,26,38,0.97636
410,ground.png,78,322,26,38,0.957989
410,ground.png,0,322,26,38,0.875674
410,ground.png,232,322,26,38,0.968942
410,largeHillS.png,0,265,130,56,0.93869
410,largeHillS.png,0,261,130,56,0.807325
410,smallHillS.png,26,265,78,30,0.974551
410,smallHillS.png,23,269,78,30,0.789015
410,smallHillS.png,30,263,78,30,0.753465
410,smallHillS.png,29,269,78,30,0.772899
411,bush2S.png,322,295,78,26,0.773027
411,bush3S.png,296,295,104,26,0.944192
411,cloud1S.png,219,64,52,39,0.955949
411,ground.png,129,322,26,38,0.947972
411,ground.png,206,322,26,38,0.871087
411,ground.png,104,322,26,38,0.878203
411,ground.png,361,322,26,38,0.976491
411,ground.png,52,322,26,38,0.999908
411,ground.png,181,322,26,38,0.945041
411,ground.png,26,322,26,38,0.970058
411,ground.png,284,322,26,38,0.966091
411,ground.png,335,322,26,38,0.949352
411,ground.png,310,322,26,38,0.87868
411,ground.png,258,322,26,38,0.997273
411,ground.png,155,322,26,38,0.97636
411,ground.png,78,322,26,38,0.955846
411,ground.png,0,322,26,38,0.875674
411,ground.png,232,322,26,38,0.968942
411,largeHillS.png,0,265,130,56,0.940294
411,largeHillS.png,0,261,130,56,0.80856
411,smallHillS.png,26,265,78,30,0.974566
411,smallHillS.png,23,269,78,30,0.797688
411,smallHillS.png,30,263,78,30,0.753458
411,smallHillS.png,29,269,78,30,0.781433
412,bush2S.png,322,295,78,26,0.773027
412,bush3S.png,296,295,104,26,0.944192
412,cloud1S.png,219,64,52,39,0.95595
412,ground.png,129,322,26,38,0.947972
412,ground.png,206,322,26,38,0.871086
412,ground.png,104,322,26,38,0.878203
412,ground.png,361,322,26,38,0.976491
412,ground.png,52,322,26,38,0.999915
412,ground.png,181,322,26,38,0.94504
412,ground.png,26,322,26,38,0.970057
412,ground.png,284,322,26,38,0.966091
412,ground.png,335,322,26,38,0.949352
